feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef50_D4BML5	diet_type	Low Carbohydrate	3.31971168103773	1.6917175829052	10	1	0.14452302382213	0.590135680607032
UniRef50_P00414..Cytochrome.c.oxidase.subunit.3	Fam_hx_stone	Yes	3.91597722947238	2.03488202629875	10	1	0.149984533656247	0.604047299930638
UniRef50_D1YJ89	diet_type	Low Carbohydrate	-3.13473417480081	1.69920878983874	10	1	0.162258008949222	0.644646684203664
UniRef50_P03897..NADH.ubiquinone.oxidoreductase.chain.3	sex	male	2.4476354083778	1.35035352841887	10	4	0.167556439216686	0.656821241729407
UniRef50_A5FQQ4..50S.ribosomal.protein.L33	antibiotic_12m	yes	9.15605712144064	5.14552278712224	10	1	0.173218191085294	0.668333665289994
UniRef50_C1CZV9	diet_type	Mediterranean	-1.61666801555248	0.913879950007897	10	1	0.175039769480713	0.668333665289994
UniRef50_C1CZV9	sex	male	3.98585847428557	2.29665261989422	10	1	0.181056071772414	0.682442116680638
UniRef50_P03897..NADH.ubiquinone.oxidoreductase.chain.3	diet_type	Pescaterian	2.29501138250726	1.90364754000777	10	4	0.314392989551491	0.765724606647136
UniRef50_Q9BQU3	diet_type	Pescaterian	1.46804699546918	1.24996492499265	10	2	0.324948900524113	0.765724606647136
UniRef50_E3R1Z4	sex	male	2.29893161878491	1.68070566824747	10	1	0.264815370646135	0.765724606647136
UniRef50_A0A1B2YPR7	sex	male	2.29849526825495	1.67976602817697	10	1	0.264674488367743	0.765724606647136
UniRef50_A0A0R2FJ43	sex	male	2.07567699802738	1.72939980012847	10	1	0.316185037240372	0.765724606647136
UniRef50_P00414..Cytochrome.c.oxidase.subunit.3	antibiotic_12m	yes	-2.36003092908891	2.03848066215475	10	1	0.330772194027844	0.765724606647136
UniRef50_P00414..Cytochrome.c.oxidase.subunit.3	diet_type	Pescaterian	-2.36003092908891	2.03848066215475	10	1	0.330772194027844	0.765724606647136
UniRef50_A0A086ZNF4	sex	male	1.13453387364211	0.954928983938912	10	1	0.320287703280647	0.765724606647136
UniRef50_A5FQQ4..50S.ribosomal.protein.L33	sex	male	4.92563117496925	4.17464800523753	10	1	0.323084372478643	0.765724606647136
UniRef50_A5FQQ4..50S.ribosomal.protein.L33	diet_type	Low Carbohydrate	-9.45374427520906	7.28800669643253	10	1	0.285321677476424	0.765724606647136
UniRef50_C1CZV9	Fam_hx_stone	Yes	-3.70884409385414	2.30678472109554	10	1	0.20624332856053	0.765724606647136
UniRef50_C1CZV9	diet_type	Low Carbohydrate	-2.73089369321653	2.33566547012243	10	1	0.326767173113872	0.765724606647136
UniRef50_D4BLK4	antibiotic_12m	yes	0.103500795295645	0.0764711588546829	10	1	0.268856329040071	0.765724606647136
UniRef50_D4BLK4	diet_type	Low Carbohydrate	-0.135793172895473	0.0967397238048377	10	1	0.255015432609917	0.765724606647136
UniRef50_D4BLK4	diet_type	Pescaterian	0.103500795295667	0.0764711588546826	10	1	0.268856329039989	0.765724606647136
UniRef50_A0A0M4N4C5	sex	male	1.16379346671965	0.949119885955708	10	1	0.307598934255234	0.765724606647136
UniRef50_D1YK59..50S.ribosomal.protein.L10	sex	male	1.16379346671965	0.949119885955708	10	1	0.307598934255234	0.765724606647136
UniRef50_A0A087D451	sex	male	1.1588156121396	0.943214076225206	10	1	0.306817060832666	0.765724606647136
UniRef50_A7A546	sex	male	1.1588156121396	0.943214076225206	10	1	0.306817060832666	0.765724606647136
UniRef50_A0A0B5BI50	sex	male	1.15060827998106	0.938206268116306	10	1	0.307530485143	0.765724606647136
UniRef50_A0A133LQ26	sex	male	1.14834915030348	0.936959059753853	10	1	0.307784532722899	0.765724606647136
UniRef50_A0A219D2U1	sex	male	1.14834915030348	0.936959059753853	10	1	0.307784532722899	0.765724606647136
UniRef50_A0A133P4B4	sex	male	1.14342442888008	0.934324326939093	10	1	0.308377459142486	0.765724606647136
UniRef50_A7A333	sex	male	1.13676227103192	0.930858656434525	10	1	0.309229220716138	0.765724606647136
UniRef50_A7A784	sex	male	1.13676227103192	0.930858656434525	10	1	0.309229220716138	0.765724606647136
UniRef50_W4U634	sex	male	1.13676227103192	0.930858656434525	10	1	0.309229220716138	0.765724606647136
UniRef50_A0A0U3BWS0	sex	male	1.12916353016888	0.926949208626303	10	1	0.310230265945261	0.765724606647136
UniRef50_A0A133LM10	sex	male	1.12916353016888	0.926949208626303	10	1	0.310230265945261	0.765724606647136
UniRef50_A0A133LR48	sex	male	1.12916353016888	0.926949208626303	10	1	0.310230265945261	0.765724606647136
UniRef50_A0A3D8Z346	sex	male	1.12916353016888	0.926949208626303	10	1	0.310230265945261	0.765724606647136
UniRef50_D1YL51	sex	male	1.10089340848766	0.911836144320934	10	1	0.313809579668099	0.765724606647136
UniRef50_A0A0M5KYS2	sex	male	1.11491180474583	0.919513892336636	10	1	0.312094890789984	0.765724606647136
UniRef50_A0A0R1FZZ0	sex	male	1.11491180474583	0.919513892336636	10	1	0.312094890789984	0.765724606647136
UniRef50_A0A133LTF3	sex	male	1.11491180474583	0.919513892336636	10	1	0.312094890789984	0.765724606647136
UniRef50_A0A1X2YX49	sex	male	1.11491180474583	0.919513892336636	10	1	0.312094890789984	0.765724606647136
UniRef50_I3AW97	sex	male	1.11491180474583	0.919513892336636	10	1	0.312094890789984	0.765724606647136
UniRef50_D2JAY2	sex	male	2.1025374409329	1.73525130183218	10	1	0.3123730252745	0.765724606647136
UniRef50_A7A6N2	sex	male	1.10924939615866	0.916468568955002	10	1	0.312807399229261	0.765724606647136
UniRef50_I3BM13	sex	male	1.10517708060102	0.914233484883093	10	1	0.313304044834009	0.765724606647136
UniRef50_I3AT09	sex	male	1.09971679977863	0.911168726452512	10	1	0.313945106915851	0.765724606647136
UniRef50_R5H0X0	sex	male	1.09971679977863	0.911168726452512	10	1	0.313945106915851	0.765724606647136
UniRef50_D1YJ89	sex	male	1.09379830197938	0.907748693294333	10	1	0.314602922712038	0.765724606647136
UniRef50_D1YJ89	diet_type	Mediterranean	-2.04093587282144	1.43642014093637	10	1	0.250466130425046	0.765724606647136
UniRef50_A0A133P4B1	sex	male	1.09622408985104	0.909163468613457	10	1	0.314338297994133	0.765724606647136
UniRef50_B3DRE0	sex	male	1.09622408985104	0.909163468613457	10	1	0.314338297994133	0.765724606647136
UniRef50_I3B5L5	sex	male	1.09622408985104	0.909163468613457	10	1	0.314338297994133	0.765724606647136
UniRef50_A7A2U7	sex	male	1.090649448842	0.905883956231581	10	1	0.314935451145845	0.765724606647136
UniRef50_C2GYL1	sex	male	1.08796888430131	0.904270460706483	10	1	0.315208287267889	0.765724606647136
UniRef50_K0NZ18	sex	male	1.08796888430131	0.904270460706483	10	1	0.315208287267889	0.765724606647136
UniRef50_O00370..LINE.1.retrotransposable.element.ORF2.protein	diet_type	Pescaterian	1.32909164283987	1.82632314091429	10	7	0.519426319119331	0.787469844331312
UniRef50_A0A370WEI7	diet_type	Mediterranean	-1.25217311959992	1.63076383209155	10	1	0.498482249228381	0.787469844331312
UniRef50_P03897..NADH.ubiquinone.oxidoreductase.chain.3	Fam_hx_stone	Yes	1.74830678246965	2.1603536059244	10	4	0.477589594145857	0.787469844331312
UniRef50_P03897..NADH.ubiquinone.oxidoreductase.chain.3	diet_type	Low Carbohydrate	2.28111900915998	2.54746489339018	10	4	0.436530742720119	0.787469844331312
UniRef50_E3R1Z4	antibiotic_12m	yes	-1.71544403316387	2.46672397319559	10	1	0.53681161502816	0.787469844331312
